mean_speed,max_acceleration,course_changes,modal
2.275925,1.386566,11,car
3.498111,4.817251,9,car
3.534738,3.058575,10,car
2.223191,2.761128,16,car
1.541666,4.039136,1,car
0.686084,4.007602,2,car
0.624824,2.307792,2,car
0.54246,1.575724,0,car
0.79059,1.036728,0,car
0.698476,4.908124,0,car
1.400091,1.031078,0,car
1.27464,4.012182,0,car
1.729789,1.044787,13,car
1.238934,1.579819,7,car
1.251734,1.749809,7,car
0.729954,0.628383,0,car
0.843174,2.202689,6,car
4.206335,0.252077,1,car
2.740048,0.574786,6,car
4.490192,2.125957,3,car
4.180257,1.372187,11,car
2.105121,0.968369,15,car
1.65624,1.49268,2,car
2.882385,6.135504,2,car
9.992388,2.890121,11,car
7.156909,1.657926,1,car
5.137251,1.695939,6,car
3.913018,3.644337,5,car
3.961835,2.389399,0,car
5.234358,1.122942,0,car
9.061529,2.095319,0,car
4.508788,1.528106,13,car
2.031471,1.454538,11,car
0.267092,0.368599,0,car
0.922966,0.397508,8,car
0.757715,0.203864,28,car
0.654459,0.303301,9,car
0.950969,1.64,28,walk
0.986967,0.147915,31,walk
0.905956,0.217377,24,walk
1.070501,0.274839,19,walk
1.253336,0.394439,35,walk
1.071668,0.081175,31,walk
1.212549,0.085855,30,walk
1.268181,0.13953,32,walk
1.081481,0.076496,23,walk
1.571503,0.143657,23,walk
0.396862,0.795327,12,walk
1.718892,0.068723,27,walk
1.822207,0.053311,40,walk
2.162623,0.20381,38,walk
1.842667,0.069754,25,walk
1.701832,0.043704,26,walk
1.751362,0.041761,25,walk
1.615241,0.13458,15,walk
0.173097,0.232848,0,walk
0.380679,0.533497,16,walk
0.954463,0.253577,31,walk
0.614005,0.309759,17,walk
0.567056,0.554491,14,walk
4.22299,2.01364,15,walk
3.557676,2.156945,1,walk
3.060223,2.291086,6,walk
2.302672,1.308017,28,walk
0.48241,0.257028,12,walk
0.438546,0.202904,4,walk
0.825341,0.05878,24,walk
0.933808,0.43906,26,walk
0.835925,0.210203,16,walk
0.826433,0.213622,22,walk
0.81461,0.300885,18,walk
0.74604,0.177278,22,walk
0.753292,0.100286,1,walk
0.697217,0.362532,8,walk
0.815751,0.203323,27,walk
0.646836,0.258695,16,walk
0.509605,0.456178,9,walk
0.763746,0.497552,19,walk
0.887308,0.326131,22,walk
0.393269,0.611197,15,walk
0.152003,0.649438,2,walk
0.353248,0.987444,8,walk
0.616616,0.635214,14,walk
0.351881,0.310707,11,walk
0.21636,0.397959,4,walk
0.030784,0.320086,0,walk
0.057361,1.088961,3,walk
0.814886,0.188264,24,walk
0.947624,0.404691,29,walk
1.073811,0.266469,27,walk
0.725887,0.40324,18,walk
0.5309,0.223131,14,walk
0.658483,1.233212,0,walk
0.023675,0.002947,0,walk
0.166759,0.613781,1,walk
0.207134,0.882811,2,walk
0.941816,0.320219,13,walk
1.013518,0.315178,29,walk
0.565297,0.310246,18,walk
0.888575,0.267705,36,walk
0.776433,0.175099,22,walk
0.951087,0.124561,25,walk
0.563429,1.126482,13,walk
1.065891,0.167661,35,walk
0.50276,0.306952,21,walk
0.547904,0.505459,32,walk
0.262946,0.553243,6,walk
0.870462,0.232635,30,walk
0.698023,0.386681,34,walk
0.857828,0.555538,34,walk
0.469237,0.455936,13,walk
0.157619,0.193965,4,walk
0.194011,0.4652,6,walk
0.306177,0.242262,7,walk
0.828383,0.465955,19,walk
0.625877,0.20954,14,walk
0.524932,0.252367,14,walk
0.702873,0.466254,35,walk
0.979692,0.0739,31,walk
0.793304,0.343621,34,walk
0.886303,0.995134,37,walk
0.655997,0.591492,31,walk
0.238512,0.465503,25,walk
0.258788,0.504289,28,walk
0.832795,0.320112,32,walk
0.71515,0.329468,19,walk
0.761162,0.224734,31,walk
0.739246,0.232548,20,walk
0.847831,0.297098,28,walk
2.84637,2.47703,7,walk
2.427157,1.052077,13,walk
2.321029,0.854795,13,walk
9.589149,1.319102,5,walk
1.350663,2.025754,1,walk
1.054195,0.399406,2,walk
1.356329,0.408829,1,walk
3.463984,2.629674,8,walk
1.203654,0.310423,16,walk
0.307353,0.619288,2,walk
0.509323,0.789413,11,walk
0.216695,0.44587,0,walk
0.716053,0.296703,11,walk
1.088556,0.293605,24,walk
